"ID","Key","Value"
"id-1409145e83c44aac9438fe272bd28793","Junction_Type","Or"
"id-2cedd5e9123e472b8004c038f002f04c","Junction_Type","Or"
"id-6d5f1d2b83e24805ad954c080609896d","Junction_Type","Or"
"id-d7b5eddcd2a44e1b83c3a11921fd0bd6","Junction_Type","Or"
"id-569884e422864445a3f05c7bf1a7c734","Junction_Type","Or"
"id-35ee57223c5d434a9932333b205ec31b","Junction_Type","Or"
"id-5948a6dd78e940a3aa6864eebd5d8935","Junction_Type","Or"
"id-6e46de7d7c0a4764bdf88140169592ea","Junction_Type","Or"
"id-60862f32073c4adca14fe21f1446f402","Junction_Type","Or"
"id-848262930a064a3bb099266c7f11f758","Junction_Type","Or"
"id-e8fa709aaeb042218f902236943cb474","Junction_Type","Or"
"id-194046801f8042a18ca88d7d9f84edc9","Junction_Type","Or"
"id-8f053841ff8c43cebe031adb0b5d5519","Junction_Type","Or"
"id-38ac9f2929024bcea4cef66e3d31389a","Junction_Type","Or"
"id-38d5f98b3c4c44e4b611d259b086beda","Junction_Type","Or"
"id-f1eaee7857414e748b4cf1b68d621499","Junction_Type","Or"
"id-c2ae53c8958440ad96d9b07aedd971b2","Junction_Type","Or"
"id-613843ffda614d9aa59851b893c4def9","Junction_Type","Or"
"id-efc6dd1bce3043aeb4d9621e08e61d47","Junction_Type","Or"
"id-98edab6840a14b0fac001e2fe34248ab","Junction_Type","Or"
"id-c782e99ee80f44398161f125a7db8969","Junction_Type","Or"
"id-649109b9f54745539fc31f8a7693471b","Junction_Type","Or"
"id-eb4139f377d64b4195700e52a475d16d","Junction_Type","Or"
"id-7309999cf18441ce809d539d5572328a","Junction_Type","Or"
"id-c2c7ab12dc8642fc9fb1ec6c6f2dd954","Access_Type","Write"
"id-6e4291b340d84d64afd4d41ab69ea81e","Access_Type","Write"
"id-c2f3800f264d445d9895648b6716b8d5","Access_Type","Write"
"id-ec4b7aea44a6433b83446d8509a53fcf","Access_Type","Write"
"id-50d0536786094f6ab7b4853a7a690eb4","Access_Type","Write"
"id-144ccb2bd45943c2a5784c93019d68be","Access_Type","Write"
"id-a6415391297b4518b0cae8c5fae6591a","Access_Type","Write"
"id-0f80947821c8494181880f1311e69bfb","Access_Type","Write"
"id-9d89a3c43aa24dcba2b720d9dab850c3","Access_Type","Write"
"id-41a920a058da4abfb40648db249881cf","Access_Type","Write"
"id-69950024898b4b15b8b63cd8763fac9d","Access_Type","Write"
"id-d36a3e4e4ca04bf58f26def6e5605c59","Access_Type","Write"
"id-e16699afc4ea49bab2367d3709f16593","Access_Type","Write"
"id-bf4d562cc77249b09f41325f5050600f","Access_Type","Write"
"id-63b5654d754b44b7875bfb62934019a7","Access_Type","Write"
"id-35b73e9e1d24407781099400902e0fed","Access_Type","Write"
"id-b5b8d6648b9d4338bc5a4ed737b6fe97","Access_Type","Write"
"id-09752e98ee6444b698cdc32416c04b8a","Access_Type","Write"
"id-4683d6245c0541fe95d30f54f4376ff7","Access_Type","Write"
"id-d359b9578a2948d6ae4698bc1d59cb3f","Access_Type","Write"
"id-b649ceb438f6407a8eda2075b740a806","Access_Type","Write"
"id-0ab96ffd4b9a4c4abffa929219c2761a","Access_Type","Write"
"id-45f2989d117b4e9a86b6437242b9af1a","Access_Type","Write"
"id-95c1c4f760b744199f8dac64ae304892","Access_Type","Write"
"id-881b4e7e9e8b4b9e9f12b996800effda","Access_Type","Write"
"id-6ecf703fd0174f67bda3bc4f3a10c04f","Access_Type","Write"
"id-df39993fe0654552ad6731d553b2969a","Access_Type","Write"
"id-3df9bc8fe146423f9a72be3a1af0d3eb","Access_Type","Write"
"id-0c76810fd46049fa844d0950e921ec88","Access_Type","Write"